,Unnamed: 0,tweet_case_norm_labelling,score,sentiment,sentiment_score,tweet,date,username,tweet_text_prepocessing_stem,tweet_text_prepocessing_nostem,tweet_case_norm,sentiment_predict
21,1031,semalem udah telepon ke pengaduan tapi kok masih belum bisa terus iya ini wifi tv kabel sama telpon,3,positive,1,"semalem udh tlp ke pengaduan,  tapi kok masih blm bisa terus ya ini wifi, tv kabel sama telpon @IndiHome",2023-05-06 21:38:40+00:00,AlestikaS,semalem udah telepon adu wifi tv kabel telpon,semalem udah telepon pengaduan wifi tv kabel telpon,semalem udah telepon ke pengaduan tapi kok masih belum bisa terus iya ini wifi tv kabel sama telpon,1
22,507,selamat siang mau tanya ini seperti di dm bagaimana caranya untuk mengubah paket indihome agar menjadi internet dan telepon saja yah kak terimakasih,11,positive,1,"Selamat siang @IndiHome 
Mau tanya nih seperti di DM
bagaimana caranya untuk mengubah paket indihome agar menjadi internet dan telepon saja yah kak?
Terimakasih",2022-01-04 04:57:05+00:00,sindirizkia100,selamat siang dm ubah paket indihome internet telepon terimakasih,selamat siang dm mengubah paket indihome internet telepon terimakasih,selamat siang mau tanya ini seperti di dm bagaimana caranya untuk mengubah paket indihome agar menjadi internet dan telepon saja yah kak terimakasih,1
23,1678,layanan teknis dari indihome sangat kompeten dan responsif terima kasih,1,positive,1,Layanan teknis dari IndiHome sangat kompeten dan responsif. Terima kasih!,2023-02-16 22:33:22+00:00,AbiyogaPutraA,layan teknis indihome kompeten responsif terima kasih,layanan teknis indihome kompeten responsif terima kasih,layanan teknis dari indihome sangat kompeten dan responsif terima kasih,1
24,1200,selamat sore admin kalau berhenti berlangganan telpon bagaimana iya mau pakai tv sama internet saja,10,positive,1,Selamat sore min @IndiHome kalo berhenti berlangganan telpon gimana ya? Mao pake tv ama internet aja,2023-03-21 10:19:23+00:00,JunayZs,selamat sore admin henti langgan telpon pakai tv internet,selamat sore admin berhenti berlangganan telpon pakai tv internet,selamat sore admin kalau berhenti berlangganan telpon bagaimana iya mau pakai tv sama internet saja,1
25,84,ada yang lagi turun ini apa tuh paket indihome dengan akses netflix kini lebih hemat streaming beragam film dengan kecepatan stabil hingga mbps cuss cek langsung promonya di,2,positive,1,"Ada yang lagi turun nih! Apa tuh? 😱 

Paket IndiHome (Dengan Akses Netflix) kini lebih hemat! Streaming beragam film dengan kecepatan stabil hingga 100 Mbps 😃

Cuss, cek langsung promonya di https://t.co/tvhLOws53g

#AktivitasTanpaBatas
#InternetnyaIndonesia
#IndiHome https://t.co/L2D6lSdZ2F",2023-06-14 07:50:01+00:00,IndiHome,turun tuh paket indihome akses netflix hemat streaming agam film cepat stabil mbps cuss cek langsung promonya,turun tuh paket indihome akses netflix hemat streaming beragam film kecepatan stabil mbps cuss cek langsung promonya,ada yang lagi turun ini apa tuh paket indihome dengan akses netflix kini lebih hemat streaming beragam film dengan kecepatan stabil hingga mbps cuss cek langsung promonya di,1
26,963,selamat siang pak presiden pak sampai siang ini internet dan tv dari masih belum bisa semoga besok bisa selesai gangguannya,1,positive,1,"Selamat siang Pak Presiden @jokowi, Pak @erickthohir sampai siang ini Internet dan tv dari @IndiHome masih belum bisa, semoga besok bisa  selesai gangguannya @IndiHomeCare.
#IndiHome
#indihomedown
#IndiHomeMbois
#indihomegangguan",2023-01-21 04:13:31+00:00,abdulmuarif7,selamat siang presiden siang internet tv moga besok selesai ganggu,selamat siang presiden siang internet tv semoga besok selesai gangguannya,selamat siang pak presiden pak sampai siang ini internet dan tv dari masih belum bisa semoga besok bisa selesai gangguannya,0
27,1704,layanan teknis dari indihome sangat profesional dan membantu terima kasih,1,positive,1,"Layanan teknis dari IndiHome sangat profesional dan membantu. Terima kasih, @indihome!",2023-04-02 03:46:30+00:00,toamajid,layan teknis indihome profesional bantu terima kasih,layanan teknis indihome profesional membantu terima kasih,layanan teknis dari indihome sangat profesional dan membantu terima kasih,1
28,225,habis instalasi bertubitubi ditelp penipuan,0,positive,1,Habis instalasi @IndiHome bertubi-tubi ditelp penipuan. 😵‍💫,2023-06-12 04:47:54+00:00,theresia_rida,habis instalasi bertubitubi ditelp tipu,habis instalasi bertubitubi ditelp penipuan,habis instalasi bertubitubi ditelp penipuan,0
29,1779,indihome terimakasih iya saya puas sama pelayanan anda saya kalau bisa mau kasih bintang jaringan cepat super pelayanan ramah terimakasih sudah bersama selama setahun ini tetap semangat dan terus berkarya,34,positive,1,"indihome terimakasih ya, saya puas sama pelayanan anda, saya kalo bisa mau kasih bintang 10, jaringan cepat, super, pelayanan ramah, terimakasih sudah bersama selama setahun ini, tetap semangat dan terus berkarya @IndiHome",2023-04-25 09:14:14+00:00,shant_y,indihome terimakasih puas layan kasih bintang jaring cepat super layan ramah terimakasih tahun semangat karya,indihome terimakasih puas pelayanan kasih bintang jaringan cepat super pelayanan ramah terimakasih setahun semangat berkarya,indihome terimakasih iya saya puas sama pelayanan anda saya kalau bisa mau kasih bintang jaringan cepat super pelayanan ramah terimakasih sudah bersama selama setahun ini tetap semangat dan terus berkarya,0
30,1706,sinyal internet dari indihome stabil dan cepat terima kasih indihome,3,positive,1,"Sinyal internet dari IndiHome stabil dan cepat. Terima kasih, IndiHome!",2023-05-23 07:51:12+00:00,ilham_adhi,sinyal internet indihome stabil cepat terima kasih indihome,sinyal internet indihome stabil cepat terima kasih indihome,sinyal internet dari indihome stabil dan cepat terima kasih indihome,1
31,664,siang kak mau tanya set box tv indihome apa bisa dibuat tv,1,positive,1,Siang kak mau tanya set box tv indihome apa bisa dibuat  2 tv ? @IndiHomeCare @IndiHome @UseeTVcom,2022-12-22 07:00:34+00:00,Herman08470534,siang set box tv indihome tv,siang set box tv indihome tv,siang kak mau tanya set box tv indihome apa bisa dibuat tv,1
32,922,deh bayar ini loh wifi lancar tv nya di isolir bagaimana sih,0,positive,1,"dah bayar nih loh, wifi lancar, TV nya di isolir . Gimana sih ? @IndiHomeCare @IndiHome",2023-05-21 11:07:12+00:00,fakeboboiboy,deh bayar loh wifi lancar tv isolir sih,deh bayar loh wifi lancar tv isolir sih,deh bayar ini loh wifi lancar tv nya di isolir bagaimana sih,1
33,1756,puas banget sama pelayanan aduan jam ngadu via dm twitter jam teknisi dateng buat benerin karena trnyata ada kabel terputus dan semuanya gratis thank youu,13,positive,1,"Puas banget sama pelayanan aduan @IndiHome jam 14.25 ngadu via DM twitter, jam 16.00 teknisi dateng buat benerin karena trnyata ada kabel terputus dan semuanya gratis, thank youu! 🙏🏻",2023-06-23 07:24:57+00:00,nksnoriska,puas banget layan adu jam ngadu via dm twitter jam teknisi dateng benerin trnyata kabel putus gratis thank youu,puas banget pelayanan aduan jam ngadu via dm twitter jam teknisi dateng benerin trnyata kabel terputus gratis thank youu,puas banget sama pelayanan aduan jam ngadu via dm twitter jam teknisi dateng buat benerin karena trnyata ada kabel terputus dan semuanya gratis thank youu,1
34,410,tolonglah kalian sudah merusak momentku,1,positive,1,"@IndiHomeCare @IndiHome 
tolonglah, kalian sudah merusak momentku",2023-06-08 18:42:29+00:00,adithiakrisandi,tolong rusak momentku,tolonglah merusak momentku,tolonglah kalian sudah merusak momentku,1
35,1723,wah gila sih acara konser soundrenaline sudah dapat tiket gratis terus puas banget sama performance yang tampil thank you,7,positive,1,"Wah gokil sih acara konser Soundrenaline, udah dapet tiket gratis terus puas bgt sama performance yg tampil, thank you @IndiHome

#LouderWithIndiHome #AktivitasTanpaBatas",2023-06-12 16:17:36+00:00,alichen44,gila sih acara konser soundrenaline tiket gratis puas banget performance tampil thank you,gila sih acara konser soundrenaline tiket gratis puas banget performance tampil thank you,wah gila sih acara konser soundrenaline sudah dapat tiket gratis terus puas banget sama performance yang tampil thank you,1
36,83,sekarang setiap sudut rumah sobat bisa terjangkau internet dengan lancar loh cukup langganan ultra wifi saja tanpa perangkat baru bikin praktis pemasangannya cek informasi selengkapnya di,5,positive,1,"Sekarang setiap sudut rumah Sobat bisa terjangkau internet dengan lancar, loh! Cukup langganan Ultra Wifi aja 😄

Tanpa perangkat baru bikin praktis pemasangannya. Cek info selengkapnya di https://t.co/pz3Nrs03v7. 

#AktivitasTanpaBatas
#InternetnyaIndonesia
#IndiHome https://t.co/IBlsiHx6f2",2023-06-14 07:58:22+00:00,IndiHome,sudut rumah sobat jangkau internet lancar loh langgan ultra wifi perangkat bikin praktis pasang cek informasi lengkap,sudut rumah sobat terjangkau internet lancar loh langganan ultra wifi perangkat bikin praktis pemasangannya cek informasi selengkapnya,sekarang setiap sudut rumah sobat bisa terjangkau internet dengan lancar loh cukup langganan ultra wifi saja tanpa perangkat baru bikin praktis pemasangannya cek informasi selengkapnya di,1
37,519,halo beneran tidak ada kompensasi buat pelanggan paket p internet telepon iya atau saya dianggap bukan pelanggan iya tlkm,7,positive,1,"halo @IndiHome @IndiHomeCare @TelkomCare @TelkomIndonesia 
beneran gak ada kompensasi buat pelanggan paket 2p internet telepon ya?
atau saya dianggap bukan pelanggan ya?
#TLKM $TLKM",2023-05-09 11:36:47+00:00,desriantoA,halo beneran kompensasi langgan paket internet telepon anggap langgan tlkm,halo beneran kompensasi pelanggan paket internet telepon dianggap pelanggan tlkm,halo beneran tidak ada kompensasi buat pelanggan paket p internet telepon iya atau saya dianggap bukan pelanggan iya tlkm,1
38,1020,ini internet dan tv di rumah saya kapan bisa normal kembali iya,1,positive,1,Ini internet dan tv d rmh sy kpn bisa normal kembali ya??? @IndiHome @IndiHomeCare,2023-05-18 23:16:17+00:00,tatienaga,internet tv rumah normal,internet tv rumah normal,ini internet dan tv di rumah saya kapan bisa normal kembali iya,1
39,1453,halo saya mau subscribe catchplay+ pilihan harga di my indihome rp bulan tapi di tv apps rp basic dan rp monthly plan yang benar berapa sebenarnya,6,positive,1,"Halo @IndiHome... Saya mau subscribe Catchplay+. 

Pilihan harga di my Indihome Rp. 36.000/bulan. Tapi di TV apps Rp. 45.000 (basic) dan Rp. 60.000 (Monthly plan).

Yg benar berapa sebenarnya?",2023-05-25 12:17:42+00:00,thepappito,halo subscribe catchplay pilih harga my indihome rp tv apps rp basic rp monthly plan,halo subscribe catchplay+ pilihan harga my indihome rp tv apps rp basic rp monthly plan,halo saya mau subscribe catchplay+ pilihan harga di my indihome rp bulan tapi di tv apps rp basic dan rp monthly plan yang benar berapa sebenarnya,1
40,1207,kapan netflix rilis di stb indihome tv ku belum smart,3,positive,1,kapan netflix rilis di STB indihome? Tv ku blm smart @UseeTVcom @IndiHomeCare @IndiHome,2023-03-10 13:13:27+00:00,808bIink,netflix rilis stb indihome tv ku smart,netflix rilis stb indihome tv ku smart,kapan netflix rilis di stb indihome tv ku belum smart,1
41,65,merah kedip kak,1,positive,1,@Patron06539588 @IndiHome @IndiHomeCare Merah kedip kak,2023-06-14 11:06:37+00:00,RenzaYoshida,merah kedip,merah kedip,merah kedip kak,1
42,919,admin untuk biaya pasang baru paket mbps tanpa tv berapa iya deposiitnya,12,positive,1,"Min @IndiHome untuk biaya pasang baru paket 20 mbps tanpa tv berapa ya ? 
@IndiHomeCare  deposiitnya",2023-05-23 03:23:31+00:00,ikopangestii,admin biaya pasang paket mbps tv deposiitnya,admin biaya pasang paket mbps tv deposiitnya,admin untuk biaya pasang baru paket mbps tanpa tv berapa iya deposiitnya,1
43,1298,kak admin sudah jam internet tv telepon mati bijimana ini,0,positive,1,"Kak min @IndiHome  udah 2 jam internet, tv, tlp mati. Bijimana ini?",2023-01-06 11:48:25+00:00,kurtwillytotti,admin jam internet tv telepon mati bijimana,admin jam internet tv telepon mati bijimana,kak admin sudah jam internet tv telepon mati bijimana ini,0
44,1286,menghubungi karena ada masalah dalam saluran tv dalam tempo menit sudah ada solusinya tv nyala kembali terimakasih,8,positive,1,"Menghubungi @IndiHome krn ada problem dlm saluran TV. Dalam tempo 10 menit sudah ada solusinya. TV nyala kembali. Terimakasih
#pastiberes",2023-01-14 10:27:07+00:00,DidinAb74543198,hubung salur tv tempo menit solusi tv nyala terimakasih,menghubungi saluran tv tempo menit solusinya tv nyala terimakasih,menghubungi karena ada masalah dalam saluran tv dalam tempo menit sudah ada solusinya tv nyala kembali terimakasih,0
45,302,halo admin mau pasang indihome bisa kan bagaimana prosesnya,9,positive,1,"Halo min @IndiHome , mau pasang indihome bisa kan? Gmn prosesnya?",2023-06-11 01:35:51+00:00,dhrnrssy,halo admin pasang indihome proses,halo admin pasang indihome prosesnya,halo admin mau pasang indihome bisa kan bagaimana prosesnya,1
46,1383,siang ini kenapa pas rewind tv kok stutter gitu iya,3,positive,1,Siang @IndiHome ini knp pas rewind tv kok stutter gitu ya??,2023-01-29 07:44:13+00:00,hrdrules,siang pas rewind tv stutter gitu,siang pas rewind tv stutter gitu,siang ini kenapa pas rewind tv kok stutter gitu iya,1
47,1663,indihome selalu menghadirkan inovasi terbaru dalam layanan internet terima kasih indihome,17,positive,1,"IndiHome selalu menghadirkan inovasi terbaru dalam layanan internet. Terima kasih, IndiHome!",2023-03-11 19:05:44+00:00,RafaFahreza12,indihome hadir inovasi baru layan internet terima kasih indihome,indihome menghadirkan inovasi terbaru layanan internet terima kasih indihome,indihome selalu menghadirkan inovasi terbaru dalam layanan internet terima kasih indihome,1
48,1610,indihome selalu memberikan penawaran paket internet yang menarik terbaik,4,positive,1,IndiHome selalu memberikan penawaran paket internet yang menarik. Terbaik!,2023-01-21 12:47:08+00:00,btork,indihome tawar paket internet tarik baik,indihome penawaran paket internet menarik terbaik,indihome selalu memberikan penawaran paket internet yang menarik terbaik,1
49,1773,oke baru kali ini puas sm cs nya tiap bikin laporan harus bismillah dulu berarti,0,positive,1,"Oke baru kali ini puas sm cs nya @IndiHome 

Tiap bikin laporan kudu bismillah dulu berarti :)",2023-05-20 19:22:09+00:00,dikadomod,oke kali puas sm cs bikin lapor bismillah,oke kali puas sm cs bikin laporan bismillah,oke baru kali ini puas sm cs nya tiap bikin laporan harus bismillah dulu berarti,1
50,151,woy indikator kamu masih merah udah jam cuk,1,positive,1,@IndiHomeCare @IndiHome Woy indikator lu masih merah udh 5 jam cuk 🤬🤬,2023-06-13 14:07:58+00:00,rifkiandono,indikator merah udah jam cuk,indikator merah udah jam cuk,woy indikator kamu masih merah udah jam cuk,1
51,728,hai barusan lihat ada di layar tv berapa biayanya kalau gabung,1,positive,1,Hai @IndiHome @IndiHomeCare barusan lihat ada @NetflixID di layar TV. Berapa biayanya kalau gabung?,2022-09-09 03:12:43+00:00,mokondo22bigwin,hai barusan lihat layar tv biaya gabung,hai barusan lihat layar tv biayanya gabung,hai barusan lihat ada di layar tv berapa biayanya kalau gabung,1
52,278,ok terimakasih atas respons yang baik ini sudah dateng teknisinya dan sudah kembali normal untuk jaringan internetnya,9,positive,1,"@IndiHomeCare @IndiHome @Telkomsel @TelkomIndonesia @erickthohir @KemenBUMN ok terimakasih atas respons yg baik, ini sudah Dateng teknisinya dan sudah kembali normal untuk jaringan internetnya",2023-06-11 06:04:04+00:00,donut07115994,ok terimakasih respons dateng teknisi normal jaring internetnya,ok terimakasih respons dateng teknisinya normal jaringan internetnya,ok terimakasih atas respons yang baik ini sudah dateng teknisinya dan sudah kembali normal untuk jaringan internetnya,1
53,1453,halo saya mau subscribe catchplay+ pilihan harga di my indihome rp bulan tapi di tv apps rp basic dan rp monthly plan yang benar berapa sebenarnya,6,positive,1,"Halo @IndiHome... Saya mau subscribe Catchplay+. 

Pilihan harga di my Indihome Rp. 36.000/bulan. Tapi di TV apps Rp. 45.000 (basic) dan Rp. 60.000 (Monthly plan).

Yg benar berapa sebenarnya?",2023-05-25 12:17:42+00:00,thepappito,halo subscribe catchplay pilih harga my indihome rp tv apps rp basic rp monthly plan,halo subscribe catchplay+ pilihan harga my indihome rp tv apps rp basic rp monthly plan,halo saya mau subscribe catchplay+ pilihan harga di my indihome rp bulan tapi di tv apps rp basic dan rp monthly plan yang benar berapa sebenarnya,1
54,31,kamu kenapa deh aneh banget internet kamu,1,positive,1,@IndiHome lo kenapa dah aneh bgt internet lo,2023-06-14 17:04:49+00:00,chicagoloverboy,deh aneh banget internet,deh aneh banget internet,kamu kenapa deh aneh banget internet kamu,1
55,1459,program untuk tv di tulis pengguna login nomor indi home,1,positive,1,"Program utk Tv Di Tulis ""Pengguna Login"" , nmr Indi Home 172301811775
@IndiHome",2023-05-23 15:15:41+00:00,jeanangelina18,program tv tulis guna login nomor indi home,program tv tulis pengguna login nomor indi home,program untuk tv di tulis pengguna login nomor indi home,1
56,340,yuk kita ganti wifi,4,positive,1,@pinkhairlolo @IndiHomeCare @IndiHome Yuk kita ganti wifi😠😠,2023-06-10 06:43:58+00:00,PrettySavvvagee,yuk ganti wifi,yuk ganti wifi,yuk kita ganti wifi,1
57,1708,indihome merupakan pilihan terbaik untuk kebutuhan internet rumah terima kasih,20,positive,1,"IndiHome merupakan pilihan terbaik untuk kebutuhan internet rumah. Terima kasih, @indihome!",2023-07-16 00:41:06+00:00,fourinabambina,indihome pilih baik butuh internet rumah terima kasih,indihome pilihan terbaik kebutuhan internet rumah terima kasih,indihome merupakan pilihan terbaik untuk kebutuhan internet rumah terima kasih,1
58,1534,selamat siang mau mengadu kan kendala modemreceiver tv rusak karena dikencingin kucing saya apakah bisa diganti mohon bantuannya terimakasih,7,positive,1,"Selamat siang @IndiHome @IndihomeJogja_, mau mengadu kan kendala modem/receiver TV rusak karena dikencingin kucing saya, apakah bisa diganti? Mohon bantuannya, terimakasih",2023-01-21 05:17:58+00:00,arionuhsadewo,selamat siang adu kendala modemreceiver tv rusak dikencingin kucing ganti mohon bantu terimakasih,selamat siang mengadu kendala modemreceiver tv rusak dikencingin kucing diganti mohon bantuannya terimakasih,selamat siang mau mengadu kan kendala modemreceiver tv rusak karena dikencingin kucing saya apakah bisa diganti mohon bantuannya terimakasih,1
