,tweet_norm_case_labelling,score_tweet_labelling,sentiment,sentiment_score,tweet,date,username,tweet_case_norm,tweet_text_prepocessing_stem,tweet_text_prepocessing_nostem,sentiment_predict
29,telepon saya kenapa gangguan mulu nih,-7,negative,0,"@IndiHome @IndiHome halo kak, indikator lampu PON nya kedip wrna merah nih dr td siang, gmn ya cara ngatasinya? terima kasih",2023-06-14 15:33:36+00:00,lulu73775096,telepon saya kenapa gangguan mulu nih,telepon ganggu,telepon gangguan,0
30,apasi lambat banget woee,-7,negative,0, @IndiHomeCare apasi ngelag banget woee,2023-06-14 15:23:27+00:00,Yaudahsi11_,apasi lambat banget woee,apas lambat banget woee,apasi lambat banget woee,0
31,kebiasan banget kamu kalau ujan jaringan nya mati,1,positive,1,,2023-06-14 15:15:14+00:00,Molenelo,kebiasan banget kamu kalau ujan jaringan nya mati,bias banget ujan jaring mati,kebiasan banget ujan jaringan mati,1
32,koneksi jelek alambatuuu perbaikan mana anjay masih suka rto tidak jelassss provider suram berhenti langganan lah saya sekarang,-14,negative,0,KONEKSI BAPUK AlambatUUU PERBAIKAN MANA ANJAY MASIH SUKA RTO GA JELASSSS PROVIDER SURAM BERHENTI LANGGANAN LAH GUA SEKARANG @IndiHome @IndiHomeCare,2023-06-14 15:07:17+00:00,Vrynnix,koneksi jelek alambatuuu perbaikan mana anjay masih suka rto tidak jelassss provider suram berhenti langganan lah saya sekarang,koneksi jelek alambatuuu baik anjay suka rto jelassss provider suram henti langgan,koneksi jelek alambatuuu perbaikan anjay suka rto jelassss provider suram berhenti langganan,1
33,kecewa dengan indihome yang sekarang,-4,negative,0,thank u @IndiHome @IndiHomeCare  I'll quit ur service soon https://t.co/5TRJMNAYw1,2023-06-14 15:05:22+00:00,NEIXYUU,kecewa dengan indihome yang sekarang,kecewa indihome,kecewa indihome,0
34,koneksi malam ini kurang stabil kah,-3,negative,0,"@IndiHomeCare , @IndiHome , @TelkomCare , koneksi malam ini kurang stabil kah ?",2023-06-14 14:46:54+00:00,rifky_asr13,koneksi malam ini kurang stabil kah,koneksi malam stabil kah,koneksi malam stabil kah,0
35,layanan di tengah perumahan kami sangat buruk kecepatan internet yang lambat membuat penggunaan internet menjadi sangat tidak memuaskan,-15,negative,0,Layanan @indihome di tengah perumahan kami sangat buruk. Kecepatan internet yang lambat membuat penggunaan internet menjadi sangat tidak memuaskan.,2023-06-14 14:34:55+00:00,Septiaendahds,layanan di tengah perumahan kami sangat buruk kecepatan internet yang lambat membuat penggunaan internet menjadi sangat tidak memuaskan,layan rumah buruk cepat internet lambat guna internet muas,layanan perumahan buruk kecepatan internet lambat penggunaan internet memuaskan,0
36,wah wifiku tidak berjalan sama sekali apakah ini disuruh tidur cepat terima kasih,4,positive,1,"Wah wifiku tidak berjalan sama sekali, apakah ini disuruh tidur cepat? Terima kasih @IndiHome",2023-06-14 14:29:41+00:00,kamursyno_,wah wifiku tidak berjalan sama sekali apakah ini disuruh tidur cepat terima kasih,wifiku jalan suruh tidur cepat terima kasih,wifiku berjalan disuruh tidur cepat terima kasih,1
37,halo lagi kenapa iya dari sore tidak bisa diakses padahal udah bayar tidak pernah terlambat tapi masa tidak ada internet sudah seharian ada informasi,-20,negative,0,"@IndiHome halo @IndiHomeCare lagi kenapa ya? Dari sore ga bisa diakses 
Padahal udh bayar ga pernah telat tapi masa ""tidak ada internet"" udah seharian
Ada informasi???",2023-06-14 14:11:44+00:00,chindaolivia,halo lagi kenapa iya dari sore tidak bisa diakses padahal udah bayar tidak pernah terlambat tapi masa tidak ada internet sudah seharian ada informasi,halo sore akses udah bayar lambat internet hari informasi,halo sore diakses udah bayar terlambat internet seharian informasi,0
38,hadeuh lambat teros,-5,negative,0,hadeuh buffering teros @IndiHomeCare @IndiHome https://t.co/qtUyzccyNF,2023-06-14 14:07:08+00:00,mbambanghutomo,hadeuh lambat teros,hadeuh lambat ros,hadeuh lambat teros,0
39,keren sukses selalu,3,positive,1,@SMGindihome @IndiHome @IndiHomeCare Keren sukses selalu,2023-06-14 13:53:59+00:00,irnapriyani23,keren sukses selalu,keren sukses,keren sukses,1
40,kenapa internet indihome menolak akses hp saya yabiasanya lancar lancar saja,-4,negative,0,@IndiHomeCare @IndiHome Kenapa wifi Indihome menolak akses hp saya ya...biasanya lancar lancar aja,2023-06-14 13:49:50+00:00,arlannn,kenapa internet indihome menolak akses hp saya yabiasanya lancar lancar saja,internet indihome tolak akses hp yabiasanya lancar lancar,internet indihome menolak akses hp yabiasanya lancar lancar,1
41,aku pakai kuota tapi telekomunikasi jaringan jelek parah,-9,negative,0,"@nctminded @IndiHome aku pake kuota tpi telkom, jaringan jelek parah😭",2023-06-14 13:40:46+00:00,shuaananaa,aku pakai kuota tapi telekomunikasi jaringan jelek parah,pakai kuota telekomunikasi jaring jelek parah,pakai kuota telekomunikasi jaringan jelek parah,0
42,hai sinyal nya jelek banget disini pakai kamu kedap kedip aku udah itungin mulai dari jam sore pagi itu pasti sinyalnya tidak bisa aku jadi pakai kuota,-10,negative,0,"@IndiHome hai, sinyal nya jelek banget disini pake kamu, kedap kedip. Aku udh itungin, mulai dari jam 6 sore - 6 pagi itu pasti sinyalnya gabisa, aku jadi pake kuota 😇😇",2023-06-14 13:35:10+00:00,nctminded,hai sinyal nya jelek banget disini pakai kamu kedap kedip aku udah itungin mulai dari jam sore pagi itu pasti sinyalnya tidak bisa aku jadi pakai kuota,sinyal jelek banget pakai kedap kedip udah itungin jam sore pagi sinyal pakai kuota,sinyal jelek banget pakai kedap kedip udah itungin jam sore pagi sinyalnya pakai kuota,0
43,benar banget plis ini aku jadi jadi pakai kuota kalau dirumah,-5,negative,0,"@shuaananaa BNER BANGET PLIS @IndiHome nih, aku jadi jadi pake kuota kalo dirumah 😭😭",2023-06-14 13:31:46+00:00,nctminded,benar banget plis ini aku jadi jadi pakai kuota kalau dirumah,banget plis pakai kuota rumah,banget plis pakai kuota dirumah,0
44,sudah cek area belum mlambatk admin,-6,negative,0,@BiznetHome @IndiHome @IndiHomeCare Udah cek area blm masuk min,2023-06-14 13:19:45+00:00,buyunkpadavocal,sudah cek area belum masuk admin,cek area masuk admin,cek area masuk admin,1
45,terimakasih atas respon dan penanganan yang cepat alhamdulillah jaringan sudah kembali normal dan lancar jaya kemarin adaptor sempat kena petir dan mati tapi dari petugas langsung sat sett mengganti adaptor dan gratiss dongg,9,positive,1,"Terimakasih @IndiHome @IndiHomeCare @IndihomeJTD atas respon dan penanganan yg cepat, Alhamdulillah jaringan sudah kembali normal dan lancar jaya.
Kemarin adaptor sempet kena petir dan mati, tapi dri petugas @IndiHome langsung sat sett mengganti adaptor dan gratiss dongg 🫡",2023-06-14 13:04:11+00:00,AisyahP199,terimakasih atas respon dan penanganan yang cepat alhamdulillah jaringan sudah kembali normal dan lancar jaya kemarin adaptor sempat kena petir dan mati tapi dari petugas langsung sat sett mengganti adaptor dan gratiss dongg,terimakasih respon tangan cepat alhamdulillah jaring normal lancar jaya kemarin adaptor kena petir mati tugas langsung sat sett ganti adaptor gratiss dongg,terimakasih respon penanganan cepat alhamdulillah jaringan normal lancar jaya kemarin adaptor kena petir mati petugas langsung sat sett mengganti adaptor gratiss dongg,1
46,alhamdulillah sudah lancar lagi terima kasih untuk para teknisi yang sudah bertugas cepat,11,positive,1,"alhamdulillah @IndiHome udah lancar lagi, terima kasih untuk para teknisi yang udah bertugas cepat.",2023-06-14 13:04:02+00:00,AnzeRadha,alhamdulillah sudah lancar lagi terima kasih untuk para teknisi yang sudah bertugas cepat,alhamdulillah lancar terima kasih teknisi tugas cepat,alhamdulillah lancar terima kasih teknisi bertugas cepat,1
47,halo selamat malam baik terima kasih telah tertarik untuk memastikan lebih lanjut bisa dibantu dengan nama jalan kelurahan kecamatan dan kota thanksiqb,11,positive,1,"@buyunkpadavocal @IndiHome @IndiHomeCare Halo @buyunkpadavocal , selamat malam. Baik, terima kasih telah tertarik #pakebiznet, untuk memastikan lebih lanjut, bisa dibantu dengan nama jalan, kelurahan, kecamatan dan kota? Thanks^iqb",2023-06-14 13:03:49+00:00,BiznetHome,halo selamat malam baik terima kasih telah tertarik untuk memastikan lebih lanjut bisa dibantu dengan nama jalan kelurahan kecamatan dan kota thanksiqb,halo selamat malam terima kasih tarik bantu nama jalan lurah camat kota thanksiqb,halo selamat malam terima kasih tertarik dibantu nama jalan kelurahan kecamatan kota thanksiqb,1
48,kukira cepat ternyata lambat eh,0,positive,1,"Kukira cepat, ternyata lambat. Eh @IndiHomeCare @IndiHome",2023-06-14 13:03:49+00:00,ardhy071005,kukira cepat ternyata lambat eh,kira cepat lambat,kukira cepat lambat,0
49,baru bayar internet tidak terhubung di hp tapi di tv terhubung bkenapaimana ini,-7,negative,0,"Baru bayar. Internet tidak terhubung di HP, tapi di TV terhubung gimana ni @IndiHomeCare @IndiHome",2021-11-15 12:25:28+00:00,AskaNugraha9,baru bayar internet tidak terhubung di hp tapi di tv terhubung bkenapaimana ini,bayar internet hubung hp tv hubung,bayar internet terhubung hp tv terhubung,0
50,dari belasan langsung loncat ke ratusan telkomsel lebih parah lagi tidak ada tuh belasan ms merah terus kalau sudah masuk sini tidak mau banget pakai indihome,-13,negative,0,@IndiHome @IndiHomeCare Dari belasan langsung loncat ke ratusan. Telkomsel lebih parah lagi. Ga ada tuh belasan ms. merah terus. Kalo @BiznetHome udah masuk sini ogah banget pake Indihome. https://t.co/cYVj3MjEow,2023-06-14 12:47:11+00:00,buyunkpadavocal,dari belasan langsung loncat ke ratusan telkomsel lebih parah lagi tidak ada tuh belasan ms merah terus kalau sudah masuk sini tidak mau banget pakai indihome,bas langsung loncat ratus telkomsel parah bas ms merah masuk banget pakai indihome,belasan langsung loncat ratusan telkomsel parah belasan ms merah masuk banget pakai indihome,0
51,kenapa njir turun ampe mbps paket mahal doang lambat minta ampun nanggepin pengaduan lama bnget diproses,-11,negative,0,"@IndiHome @IndiHomeCare kenapa njir, drop ampe 0,11 Mbps, paket mahal doang, lemot minta ampun,.
Nanggepin pengaduan lama bnget diproses..",2023-06-14 12:16:58+00:00,TYhudie,kenapa njir turun ampe mbps paket mahal doang lambat minta ampun nanggepin pengaduan lama bnget diproses,turun ampe mbps paket mahal doang lambat ampun nanggepin adu bnget proses,turun ampe mbps paket mahal doang lambat ampun nanggepin pengaduan bnget diproses,0
52,internet dari indihome sangat membantu,0,positive,1,@SiaranBolaLive @IndiHome  min gimana cara berhenti langanan,2023-06-14 12:03:30+00:00,midak_kodok21,internet dari indihome sangat membantu,internet inidhome bantu,internet dari indihome sangat membantu,1
53,cara pengajuan gantinya gimna admin ini saya pakai yang lama,-12,negative,0,@IndiHomeCare @IndiHome Cara pengajuan gantinya gimna min. Ini saya pakai yang lama,2023-06-14 11:54:34+00:00,Hriann97,cara pengajuan gantinya gimna admin ini saya pakai yang lama,aju ganti gimna admin pakai,pengajuan gantinya gimna admin pakai,0
54,layanan di daerah saya sangat mengecewakan sinyal internet sangat lemah dan sering terputusputus membuat pengalaman browsing menjadi sangat frustasi,-5,negative,0,"Layanan @indihome di daerah saya sangat mengecewakan. Sinyal internet sangat lemah dan sering terputus-putus, membuat pengalaman browsing menjadi sangat frustasi.",2023-06-14 11:54:09+00:00,MRezaV66,layanan di daerah saya sangat mengecewakan sinyal internet sangat lemah dan sering terputusputus membuat pengalaman browsing menjadi sangat frustasi,layan daerah kecewa sinyal internet lemah terputusputus alam browsing frustasi,layanan daerah mengecewakan sinyal internet lemah terputusputus pengalaman browsing frustasi,0
55,terlalu mahal layanan indihome,-5,negative,0,@PrinceBerkuda @IndiHomeCare @IndiHome Is this what Prince’s house looks like? 😍,2023-06-14 11:08:24+00:00,_jessxs,terlalu mahal layanan indihome,terlalu mahal layan indihome,terlalu mahal layanan indihome,0
56,kenapa internet di rumah saya kedip merah terus dari pagi gk konek konek,-4,negative,0,@IndiHome knpa wifi di rmh saya kedip merah terus. Dr pagi gk konek konek,2023-06-14 11:07:19+00:00,Andriocktoberi2,kenapa internet di rumah saya kedip merah terus dari pagi gk konek konek,internet rumah kedip merah pagi gk konek konek,internet rumah kedip merah pagi gk konek konek,0
57,internet cepat,1,positive,1,@Patron06539588 @IndiHome @IndiHomeCare Merah kedip kak,2023-06-14 11:06:37+00:00,RenzaYoshida,internet cepat,internet cepat,internet cepat,1
58,indihome jaringanya cepat iya cepat membuat emosi,10,positive,1,Indihome jaringanya cepat ya. Cepat bikin emosi @IndiHome,2023-06-14 11:05:52+00:00,Patron06539588,indihome jaringanya cepat iya cepat membuat emosi,indihome jaringanya cepat cepat emosi,indihome jaringanya cepat cepat emosi,1
59,sore admin internet di rumah saya dari tadi pagi tidak bisa dipake sudah di restart tiap menit tapi tetep tidak internet indikator hilang di router kedipkedip kirakira kenapa iya saya searching sih gangguan daerah saya tapi biasanya gangguan tidak selama ini,-26,negative,0,"@IndiHome  @IndiHomeCare 
Sore min, wifi di rumah saya dari tadi pagi gabisa dipake, sudah di restart tiap 30 menit tapi tetep no internet, indikator LOS di router kedip-kedip, kira-kira kenapa ya? Saya searching sih gangguan daerah saya, tapi biasanya gangguan enggak selama ini",2023-06-14 11:02:09+00:00,RenzaYoshida,sore admin internet di rumah saya dari tadi pagi tidak bisa dipake sudah di restart tiap menit tapi tetep tidak internet indikator hilang di router kedipkedip kirakira kenapa iya saya searching sih gangguan daerah saya tapi biasanya gangguan tidak selama ini,sore admin internet rumah pagi dipake restart menit tetep internet indikator hilang router kedipkedip kirakira searching ganggu daerah ganggu,sore admin internet rumah pagi dipake restart menit tetep internet indikator hilang router kedipkedip kirakira searching gangguan daerah gangguan,0
60,gercep banget sejam membuat tiket pengaduan eh langsung dateng teknisinyaaa thankkamu indihome,7,positive,1,Gercep banget sejam bikin tiket pengaduan eh langsung dateng teknisinyaaa😍😍 thankkamu indihome @IndiHomeCare @IndiHome https://t.co/sgIv59sN10,2023-06-14 10:46:19+00:00,PrinceBerkuda,gercep banget sejam membuat tiket pengaduan eh langsung dateng teknisinyaaa thankkamu indihome,gercep banget jam tiket adu langsung dateng teknisinyaaa thankkamu indihome,gercep banget sejam tiket pengaduan langsung dateng teknisinyaaa thankkamu indihome,0
61,alhamduliah sudah dua kali kabel mati dan penangananya sangat cepat hanya satu hari saja dan chat pun cepat respon terimakasih,9,positive,1,Alhamduliah sdh dua kali kabel putus dan penangananya sangat cepat hanya satu hari aja dan chat pun cepat respon terimakasih @IndiHome #PastiBeres,2023-06-14 09:31:31+00:00,Lasticcheart,alhamduliah sudah dua kali kabel mati dan penangananya sangat cepat hanya satu hari saja dan chat pun cepat respon terimakasih,alhamduliah kali kabel mati penangananya cepat chat cepat respon terimakasih,alhamduliah kali kabel mati penangananya cepat chat cepat respon terimakasih,1
62,sampai sekarang masih percaya pelayanan buat kepentingan anak kost masih komit pelayanannya cepat jika ada laporan kerusakan,7,positive,1,"Sampe sekarang masih percaya pelayanan @IndiHome buat kepentingan anak2 kost, masih komit pelayanannya cepat jika ada laporan kerusakan.

#kamuAreFirst
#BersamaIndiHome",2023-06-14 09:13:56+00:00,didisetyawansp,sampai sekarang masih percaya pelayanan buat kepentingan anak kost masih komit pelayanannya cepat jika ada laporan kerusakan,percaya layan penting anak kost komit layan cepat lapor rusa,percaya pelayanan kepentingan anak kost komit pelayanannya cepat laporan kerusakan,1
63,punyaku mengalami gangguan tidak bisa melakukan panggilalan keluar sementara layanan internet masih bisasemoga cepat ditangani,-4,negative,0,"Punyaku mengalami gangguan tidak bisa melakukan panggilalan keluar @TelkomCare @IndiHome, sementara layanan wifi masih bisa..semoga cepat ditangani.",2023-06-14 09:13:53+00:00,IrfanudinDede,punyaku mengalami gangguan tidak bisa melakukan panggilalan keluar sementara layanan internet masih bisasemoga cepat ditangani,punya alami ganggu panggilalan layan internet bisasemoga cepat tangan,punyaku mengalami gangguan panggilalan layanan internet bisasemoga cepat ditangani,0
